Locus_10004_Transcript_1/1_Confidence_1.000_Length_174_transcripts_v2_10976 	 0.230119 	 transport   
Locus_1000_Transcript_1/1_Confidence_1.000_Length_292_transcripts_v2_6389 	 0.266367 	 developmental processes  
Locus_1000_Transcript_1/1_Confidence_1.000_Length_292_transcripts_v2_6389 	 0.266367 	 other biological processes 
Locus_10024_Transcript_1/1_Confidence_1.000_Length_411_transcripts_v2_4529 	 1.4668 	 signal transduction  
Locus_10037_Transcript_1/1_Confidence_1.000_Length_428_transcripts_v2_4337 	 0.578951 	 other metabolic processes 
Locus_1003_Transcript_1/1_Confidence_1.000_Length_421_transcripts_v2_4420 	 0.914415 	 protein metabolism  
Locus_10043_Transcript_1/1_Confidence_1.000_Length_339_transcripts_v2_5512 	 0.52846 	 other metabolic processes 
Locus_10045_Transcript_1/1_Confidence_1.000_Length_696_transcripts_v2_2383 	 0.206723 	 protein metabolism  
Locus_10059_Transcript_1/1_Confidence_1.000_Length_589_transcripts_v2_3011 	 0.384943 	 transport   
Locus_10063_Transcript_1/1_Confidence_1.000_Length_177_transcripts_v2_10761 	 0.499315 	 other biological processes 
Locus_10068_Transcript_1/1_Confidence_1.000_Length_424_transcripts_v2_4379 	 0.689883 	 transport   
Locus_10069_Transcript_1/1_Confidence_1.000_Length_220_transcripts_v2_8577 	 0.348955 	 other biological processes 
Locus_10069_Transcript_1/1_Confidence_1.000_Length_220_transcripts_v2_8577 	 0.348955 	 other metabolic processes 
Locus_10073_Transcript_1/1_Confidence_1.000_Length_733_transcripts_v2_2166 	 0.640578 	 protein metabolism  
Locus_10078_Transcript_1/1_Confidence_1.000_Length_305_transcripts_v2_6109 	 0.157409 	 cell cycle and proliferation
Locus_10078_Transcript_1/1_Confidence_1.000_Length_305_transcripts_v2_6109 	 0.157409 	 other metabolic processes 
Locus_10078_Transcript_1/1_Confidence_1.000_Length_305_transcripts_v2_6109 	 0.157409 	 stress response  
Locus_10085_Transcript_1/2_Confidence_1.000_Length_1577_transcripts_v2_476 	 0.417774 	 RNA metabolism  
Locus_10085_Transcript_1/2_Confidence_1.000_Length_1577_transcripts_v2_476 	 0.417774 	 cell adhesion  
