AOKF1045_g2_c 	 0.415524 	 cell organization and biogenesis
AOKF1045_g2_c 	 0.415524 	 other biological processes 
AOKF1045_g2_c 	 0.415524 	 signal transduction  
AOKF1050_b2_c 	 0.405247 	 transport   
AOKF1057_b2_c 	 0.337031 	 cell cycle and proliferation
AOKF1057_b2_c 	 0.337031 	 cell organization and biogenesis
AOKF1057_b2_c 	 0.337031 	 other biological processes 
AOKF1057_b2_c 	 0.337031 	 protein metabolism  
AOKF1062_g2_c 	 1.00104 	 other biological processes 
AOKF1062_g2_c 	 1.00104 	 other metabolic processes 
AOKF1062_g2_c 	 1.00104 	 signal transduction  
AOKF1091_g2_c 	 0.503552 	 RNA metabolism  
AOKF1091_g2_c 	 0.503552 	 cell organization and biogenesis
AOKF1114_g2_c 	 0.964931 	 cell adhesion  
AOKF1114_g2_c 	 0.964931 	 cell organization and biogenesis
AOKF1114_g2_c 	 0.964931 	 other biological processes 
AOKF1114_g2_c 	 0.964931 	 other metabolic processes 
AOKF1114_g2_c 	 0.964931 	 signal transduction  
AOKF1114_g2_c 	 0.964931 	 transport   
AOKF1132_g2_c 	 0.228244 	 other biological processes 
AOKF1164_g2_c 	 0.905474 	 RNA metabolism  
AOKF1164_g2_c 	 0.905474 	 cell organization and biogenesis
AOKF1164_g2_c 	 0.905474 	 other metabolic processes 
AOKF1164_g2_c 	 0.905474 	 protein metabolism  
AOKF1206_g2_c 	 0.820971 	 stress response  
AOKF1230_g2_c 	 0.716592 	 cell organization and biogenesis
AOKF1230_g2_c 	 0.716592 	 other biological processes 
AOKF1238_g2_c 	 0.487211 	 other metabolic processes 
AOKF1251_g2_c 	 0.25312 	 RNA metabolism  
AOKF1251_g2_c 	 0.25312 	 signal transduction  
AOKF1269_g2_c 	 0.330159 	 death   
AOKF1269_g2_c 	 0.330159 	 other biological processes 
AOKF1336_g2_c 	 0.368121 	 RNA metabolism  
AOKF1356_g2_c 	 0.461341 	 other metabolic processes 
AOKF1427_b2_c 	 0.764298 	 other biological processes 
AOKF1427_b2_c 	 0.764298 	 signal transduction  
AOKF1427_b2_c 	 0.764298 	 transport   
AOKF1514_g2_c 	 0.295433 	 other biological processes 
AOKF1531_b2_c 	 0.237932 	 RNA metabolism  
AOKF1531_b2_c 	 0.237932 	 cell organization and biogenesis
AOKF1531_b2_c 	 0.237932 	 other metabolic processes 
AOKF1531_b2_c 	 0.237932 	 protein metabolism  
AOKF1549_b2_c 	 0.881497 	 other biological processes 
AOKF1597_g2_c 	 0.435898 	 cell cycle and proliferation
AOKF1597_g2_c 	 0.435898 	 other biological processes 
AOKF1614_g2_c 	 0.72042 	 other metabolic processes 
AOKF1658_g2_c 	 0.285014 	 RNA metabolism  
AOKF1670_g2_c 	 0.326164 	 other metabolic processes 
AOKF1670_g2_c 	 0.326164 	 stress response  
AOKF1763_g2_c 	 1.27133 	 RNA metabolism  
AOKF1797_g2_c 	 0.570353 	 cell organization and biogenesis
AOKF1797_g2_c 	 0.570353 	 other biological processes 
AOKF1797_g2_c 	 0.570353 	 protein metabolism  
AOKF1797_g2_c 	 0.570353 	 signal transduction  
AOKF1797_g2_c 	 0.570353 	 stress response  
AOKF1825_g2_c 	 0.847725 	 other biological processes 
AOKF1826_g2_c 	 0.40505 	 protein metabolism  
AOKF1873_g2_c 	 0.272169 	 RNA metabolism  
AOKF1873_g2_c 	 0.272169 	 death   
AOKF1885_g2_c 	 0.817346 	 DNA metabolism  
AOKF1885_g2_c 	 0.817346 	 death   
AOKF1885_g2_c 	 0.817346 	 developmental processes  
AOKF1885_g2_c 	 0.817346 	 other biological processes 
AOKF1885_g2_c 	 0.817346 	 other metabolic processes 
AOKF1891_g2_c 	 0.505749 	 other biological processes 
AOKF1903_g2_c 	 0 	 cell cycle and proliferation
AOKF1903_g2_c 	 0 	 cell organization and biogenesis
AOKF1903_g2_c 	 0 	 other biological processes 
AOKF1903_g2_c 	 0 	 transport   
AOKF1907_g2_c 	 0.409752 	 other metabolic processes 
AOKF1907_g2_c 	 0.409752 	 transport   
AOKF1915_g2_c 	 0.196987 	 cell cycle and proliferation
AOKF1915_g2_c 	 0.196987 	 cell organization and biogenesis
AOKF1915_g2_c 	 0.196987 	 developmental processes  
AOKF1915_g2_c 	 0.196987 	 other biological processes 
AOKF1915_g2_c 	 0.196987 	 other metabolic processes 
AOKF1937_g2_c 	 0.376859 	 protein metabolism  
AOKF1938_g2_c 	 0.761507 	 cell organization and biogenesis
AOKF1938_g2_c 	 0.761507 	 developmental processes  
AOKF1938_g2_c 	 0.761507 	 other metabolic processes 
AOKF1938_g2_c 	 0.761507 	 protein metabolism  
AOKF1946_g2_c 	 0.524013 	 other biological processes 
AOKF1947_g2_c 	 0.507845 	 cell cycle and proliferation
AOKF1975_b2_c 	 0.586026 	 other metabolic processes 
AOKF1975_b2_c 	 0.586026 	 transport   
AOKF2011_g2_c 	 0.994077 	 developmental processes  
AOKF2011_g2_c 	 0.994077 	 other biological processes 
AOKF2016_g2_c 	 0.22454 	 DNA metabolism  
AOKF2016_g2_c 	 0.22454 	 other metabolic processes 
AOKF2016_g2_c 	 0.22454 	 stress response  
AOKF2023_g2_c 	 0.398427 	 other biological processes 
AOKF2023_g2_c 	 0.398427 	 transport   
AOKF2034_g2_c 	 0.934842 	 cell cycle and proliferation
AOKF2034_g2_c 	 0.934842 	 death   
AOKF2034_g2_c 	 0.934842 	 developmental processes  
AOKF2034_g2_c 	 0.934842 	 other biological processes 
AOKF2071_g2_c 	 0.178843 	 RNA metabolism  
AOKF2071_g2_c 	 0.178843 	 protein metabolism  
AOKF2099_g2_c 	 0.774577 	 other metabolic processes 
AOKF2099_g2_c 	 0.774577 	 transport   
AOKF2114_g2_c 	 0.598286 	 DNA metabolism  
AOKF2114_g2_c 	 0.598286 	 cell cycle and proliferation
AOKF2114_g2_c 	 0.598286 	 cell organization and biogenesis
AOKF2114_g2_c 	 0.598286 	 other biological processes 
AOKF2114_g2_c 	 0.598286 	 stress response  
AOKF2121_b2_c 	 0.453381 	 cell organization and biogenesis
AOKF2121_b2_c 	 0.453381 	 other biological processes 
AOKF2128_g2_c 	 0.502858 	 cell organization and biogenesis
AOKF2128_g2_c 	 0.502858 	 other biological processes 
AOKF2128_g2_c 	 0.502858 	 other metabolic processes 
AOKF2154_g2_c 	 0.609141 	 protein metabolism  
AOKF2168_g2_c 	 0.540757 	 RNA metabolism  
AOKF2168_g2_c 	 0.540757 	 cell organization and biogenesis
AOKF2168_g2_c 	 0.540757 	 other biological processes 
AOKF2168_g2_c 	 0.540757 	 other metabolic processes 
AOKF2168_g2_c 	 0.540757 	 protein metabolism  
AOKF2211_g2_c 	 0.114937 	 DNA metabolism  
AOKF2211_g2_c 	 0.114937 	 RNA metabolism  
AOKF2211_g2_c 	 0.114937 	 other biological processes 
AOKF2211_g2_c 	 0.114937 	 protein metabolism  
AOKF2211_g2_c 	 0.114937 	 stress response  
AOKF2214_b2_c 	 0.539814 	 RNA metabolism  
AOKF2214_b2_c 	 0.539814 	 cell organization and biogenesis
AOKF2249_g2_c 	 0.263595 	 DNA metabolism  
AOKF2249_g2_c 	 0.263595 	 cell organization and biogenesis
AOKF2249_g2_c 	 0.263595 	 stress response  
AOKF2279_g2_c 	 0.542691 	 protein metabolism  
AOKF2281_g2_c 	 0.505511 	 RNA metabolism  
AOKF2299_g2_c 	 0.500593 	 cell cycle and proliferation
AOKF2299_g2_c 	 0.500593 	 death   
AOKF2299_g2_c 	 0.500593 	 developmental processes  
AOKF2299_g2_c 	 0.500593 	 other biological processes 
AOKF2299_g2_c 	 0.500593 	 other metabolic processes 
AOKF2299_g2_c 	 0.500593 	 protein metabolism  
AOKF2299_g2_c 	 0.500593 	 signal transduction  
AOKF2299_g2_c 	 0.500593 	 transport   
AOKF2300_g2_c 	 0.374787 	 RNA metabolism  
AOKF386_g2_c 	 1.02326 	 cell organization and biogenesis
AOKF403_g2_c 	 0.838638 	 DNA metabolism  
AOKF403_g2_c 	 0.838638 	 other metabolic processes 
AOKF403_g2_c 	 0.838638 	 stress response  
AOKF425_g2_c 	 0.970883 	 DNA metabolism  
AOKF425_g2_c 	 0.970883 	 cell cycle and proliferation
AOKF425_g2_c 	 0.970883 	 cell organization and biogenesis
AOKF425_g2_c 	 0.970883 	 stress response  
AOKF455_g2_c 	 0.69156 	 RNA metabolism  
AOKF455_g2_c 	 0.69156 	 cell organization and biogenesis
AOKF455_g2_c 	 0.69156 	 developmental processes  
AOKF455_g2_c 	 0.69156 	 other metabolic processes 
AOKF462_g2_c 	 0.383565 	 cell cycle and proliferation
AOKF462_g2_c 	 0.383565 	 death   
AOKF462_g2_c 	 0.383565 	 other biological processes 
AOKF462_g2_c 	 0.383565 	 other metabolic processes 
AOKF462_g2_c 	 0.383565 	 protein metabolism  
AOKF462_g2_c 	 0.383565 	 signal transduction  
AOKF462_g2_c 	 0.383565 	 stress response  
AOKF480_g2_c 	 0.45597 	 protein metabolism  
AOKF628_g2_c 	 0.910998 	 cell cycle and proliferation
AOKF628_g2_c 	 0.910998 	 cell organization and biogenesis
AOKF628_g2_c 	 0.910998 	 developmental processes  
AOKF628_g2_c 	 0.910998 	 other biological processes 
AOKF628_g2_c 	 0.910998 	 protein metabolism  
AOKF645_g2_c 	 0.11882 	 DNA metabolism  
AOKF645_g2_c 	 0.11882 	 cell cycle and proliferation
AOKF645_g2_c 	 0.11882 	 cell organization and biogenesis
AOKF645_g2_c 	 0.11882 	 other biological processes 
AOKF666_b2_c 	 0.928414 	 transport   
AOKF694_g2_c 	 0.952809 	 transport   
AOKF701_g2_c 	 1.20164 	 cell organization and biogenesis
AOKF702_g2_c 	 0.315684 	 stress response  
AOKF824_g2_c 	 0.91983 	 protein metabolism  
AOKF832_g2_c 	 0.408 	 RNA metabolism  
AOKF832_g2_c 	 0.408 	 developmental processes  
AOKF836_g2_c 	 0.623933 	 RNA metabolism  
AOKF836_g2_c 	 0.623933 	 cell adhesion  
AOKF836_g2_c 	 0.623933 	 cell cycle and proliferation
AOKF836_g2_c 	 0.623933 	 cell organization and biogenesis
AOKF836_g2_c 	 0.623933 	 death   
AOKF836_g2_c 	 0.623933 	 other biological processes 
AOKF836_g2_c 	 0.623933 	 other metabolic processes 
AOKF836_g2_c 	 0.623933 	 protein metabolism  
AOKF836_g2_c 	 0.623933 	 signal transduction  
AOKF863_g2_c 	 0.875914 	 developmental processes  
AOKF863_g2_c 	 0.875914 	 signal transduction  
AOKF879_g2_c 	 0.303617 	 other biological processes 
AOKF879_g2_c 	 0.303617 	 transport   
AOKF890_g2_c 	 1.15098 	 cell organization and biogenesis
AOKF904_g2_c 	 0.472881 	 other biological processes 
AOKF905_g2_c 	 0.753928 	 transport   
AOKF945_b2_c 	 0.342847 	 RNA metabolism  
AOKF945_b2_c 	 0.342847 	 cell organization and biogenesis
AOKF945_b2_c 	 0.342847 	 protein metabolism  
AOKF945_b2_c 	 0.342847 	 transport   
AOKG1165_g2_c 	 0.174878 	 cell cycle and proliferation
AOKG1165_g2_c 	 0.174878 	 other biological processes 
AOKG1182_g2_c 	 0.420781 	 RNA metabolism  
AOKG1182_g2_c 	 0.420781 	 developmental processes  
AOKG1237_b2_c 	 0.458956 	 other biological processes 
AOKG1237_b2_c 	 0.458956 	 other metabolic processes 
AOKG1237_b2_c 	 0.458956 	 protein metabolism  
AOKG1421_g2_c 	 0.291586 	 protein metabolism  
AOKG1426_g2_c 	 0.330284 	 DNA metabolism  
AOKG1426_g2_c 	 0.330284 	 RNA metabolism  
AOKG1426_g2_c 	 0.330284 	 cell cycle and proliferation
AOKG1426_g2_c 	 0.330284 	 cell organization and biogenesis
