Locus_1685_Transcript_1/2_Confidence_1.000_Length_7457_transcripts_v2_1|spectrin	sp|P13395|SPTCA_DROME	56.44	2328	1003	7	7455	490	91	2413	0.0	 2593
Locus_1685_Transcript_2/2_Confidence_1.000_Length_7457_transcripts_v2_2|spectrin	sp|P02549|SPTA1_HUMAN	43.93	2340	1279	11	7455	484	97	2419	0.0	 1867
Locus_177_Transcript_12/12_Confidence_0.500_Length_6585_transcripts_v2_3|vitellogenin	sp|Q91062|VIT_ICHUN	22.09	860	593	22	3371	5818	97	923	2e-39	  166
Locus_1199_Transcript_3/4_Confidence_0.750_Length_5569_transcripts_v2_11|serine	sp|Q627N3|GLC7B_CAEBR	88.62	334	21	2	2704	3699	2	320	0.0	  609
Locus_177_Transcript_9/12_Confidence_0.435_Length_5444_transcripts_v2_12|vitellogenin	sp|Q91062|VIT_ICHUN	22.09	860	593	22	3189	742	97	923	9e-40	  166
transcripts_v2_15|pyruvate	sp|Q59754|PPDK_RHIME	62.84	557	207	0	1988	3658	17	573	0.0	  729
transcripts_v2_16|pyruvate	sp|P22983|PPDK_CLOSY	55.17	580	237	4	1988	3718	13	572	0.0	  651
transcripts_v2_17|pyruvate	sp|Q59754|PPDK_RHIME	62.84	557	207	0	1988	3658	17	573	0.0	  729
Locus_1762_Transcript_7/14_Confidence_0.340_Length_4399_transcripts_v2_18|dna-binding	sp|P81270|ERG_MOUSE	47.61	355	152	8	2562	3611	121	446	2e-86	  296
Locus_1762_Transcript_10/14_Confidence_0.340_Length_4397_transcripts_v2_19|dna-binding	sp|Q8R4Z4|ETV3_MOUSE	50.00	140	62	2	3159	3575	28	160	9e-29	  126
Locus_1762_Transcript_13/14_Confidence_0.360_Length_4396_transcripts_v2_20|dna-binding	sp|P81270|ERG_MOUSE	47.61	355	152	8	2562	3611	121	446	2e-86	  296
transcripts_v2_21|protein	sp|P81439|EQST_ACTEQ	39.46	185	90	6	768	1277	16	193	1e-26	  114
