Spi_contig00032 	 0.484363 	 cell cycle and proliferation
Spi_contig00032 	 0.484363 	 cell organization and biogenesis
Spi_contig00032 	 0.484363 	 developmental processes  
Spi_contig00032 	 0.484363 	 other biological processes 
Spi_contig00032 	 0.484363 	 protein metabolism  
Spi_contig00035 	 0.335179 	 cell cycle and proliferation
Spi_contig00035 	 0.335179 	 cell organization and biogenesis
Spi_contig00035 	 0.335179 	 death   
Spi_contig00035 	 0.335179 	 developmental processes  
Spi_contig00035 	 0.335179 	 other biological processes 
Spi_contig00035 	 0.335179 	 other metabolic processes 
Spi_contig00035 	 0.335179 	 protein metabolism  
Spi_contig00035 	 0.335179 	 RNA metabolism  
Spi_contig00035 	 0.335179 	 signal transduction  
Spi_contig00035 	 0.335179 	 stress response  
Spi_contig00035 	 0.335179 	 transport   
Spi_contig00040 	 0.854266 	 other metabolic processes 
Spi_contig00040 	 0.854266 	 transport   
Spi_contig00046 	 0.196592 	 other metabolic processes 
Spi_contig00075 	 0.871739 	 other metabolic processes 
Spi_contig00075 	 0.871739 	 transport   
Spi_contig00094 	 0.131292 	 cell adhesion  
Spi_contig00094 	 0.131292 	 cell cycle and proliferation
Spi_contig00094 	 0.131292 	 cell organization and biogenesis
Spi_contig00094 	 0.131292 	 death   
Spi_contig00094 	 0.131292 	 developmental processes  
Spi_contig00094 	 0.131292 	 DNA metabolism  
Spi_contig00094 	 0.131292 	 other biological processes 
Spi_contig00094 	 0.131292 	 other metabolic processes 
Spi_contig00094 	 0.131292 	 protein metabolism  
Spi_contig00094 	 0.131292 	 RNA metabolism  
Spi_contig00094 	 0.131292 	 signal transduction  
Spi_contig00094 	 0.131292 	 stress response  
Spi_contig00094 	 0.131292 	 transport   
Spi_contig00095 	 0.684932 	 other biological processes 
Spi_contig00095 	 0.684932 	 other metabolic processes 
Spi_contig00834 	 0.654594 	 other biological processes 
Spi_contig00834 	 0.654594 	 transport   
Spi_contig04187 	 0.876088 	 other biological processes 
Spi_isotig00002 	 0.910243 	 death   
Spi_isotig00002 	 0.910243 	 other biological processes 
Spi_isotig00002 	 0.910243 	 transport   
Spi_isotig00005 	 0.900018 	 death   
Spi_isotig00005 	 0.900018 	 other biological processes 
Spi_isotig00005 	 0.900018 	 transport   
Spi_isotig00010 	 0.908013 	 death   
Spi_isotig00010 	 0.908013 	 other biological processes 
Spi_isotig00010 	 0.908013 	 transport   
Spi_isotig00015 	 0.989809 	 death   
Spi_isotig00015 	 0.989809 	 other biological processes 
Spi_isotig00015 	 0.989809 	 transport   
Spi_isotig00020 	 0.675082 	 other biological processes 
Spi_isotig00020 	 0.675082 	 other metabolic processes 
Spi_isotig00020 	 0.675082 	 protein metabolism  
Spi_isotig00022 	 0.679646 	 other metabolic processes 
Spi_isotig00026 	 0.655977 	 signal transduction  
Spi_isotig00029 	 0.649259 	 other metabolic processes 
Spi_isotig00029 	 0.649259 	 protein metabolism  
Spi_isotig00032 	 0.635522 	 other biological processes 
Spi_isotig00048 	 0.614274 	 other metabolic processes 
Spi_isotig00049 	 0.61464 	 protein metabolism  
Spi_isotig00052 	 0.62236 	 other metabolic processes 
Spi_isotig00054 	 0.557235 	 other metabolic processes 
Spi_isotig00055 	 0.556927 	 protein metabolism  
Spi_isotig00060 	 0.603094 	 protein metabolism  
Spi_isotig00061 	 0.554531 	 other metabolic processes 
Spi_isotig00062 	 0.603374 	 other metabolic processes 
Spi_isotig00064 	 0.599904 	 other metabolic processes 
Spi_isotig00065 	 0.598049 	 other metabolic processes 
Spi_isotig00066 	 0.600211 	 other metabolic processes 
Spi_isotig00067 	 0.597596 	 protein metabolism  
Spi_isotig00068 	 0.598049 	 protein metabolism  
Spi_isotig00069 	 0.565424 	 other metabolic processes 
Spi_isotig00070 	 0.594693 	 other metabolic processes 
Spi_isotig00071 	 0.595176 	 other metabolic processes 
Spi_isotig00072 	 0.611006 	 other metabolic processes 
Spi_isotig00073 	 0.607078 	 other metabolic processes 
Spi_isotig00077 	 0.532659 	 protein metabolism  
Spi_isotig00079 	 0.585586 	 other metabolic processes 
Spi_isotig00080 	 0.529539 	 other metabolic processes 
Spi_isotig00081 	 0.585233 	 protein metabolism  
Spi_isotig00083 	 0.585586 	 cell organization and biogenesis
Spi_isotig00083 	 0.585586 	 protein metabolism  
Spi_isotig00083 	 0.585586 	 RNA metabolism  
Spi_isotig00084 	 0.581943 	 other metabolic processes 
Spi_isotig00085 	 0.582328 	 other metabolic processes 
Spi_isotig00087 	 0.594526 	 other metabolic processes 
Spi_isotig00090 	 0.765667 	 protein metabolism  
Spi_isotig00127 	 0.429549 	 other biological processes 
Spi_isotig00132 	 0.688437 	 other metabolic processes 
Spi_isotig00132 	 0.688437 	 stress response  
Spi_isotig00132 	 0.688437 	 transport   
Spi_isotig00133 	 0.683647 	 other metabolic processes 
Spi_isotig00134 	 0.691718 	 developmental processes  
Spi_isotig00134 	 0.691718 	 other biological processes 
Spi_isotig00134 	 0.691718 	 other metabolic processes 
Spi_isotig00134 	 0.691718 	 stress response  
Spi_isotig00134 	 0.691718 	 transport   
Spi_isotig00135 	 0.657976 	 other metabolic processes 
Spi_isotig00136 	 0.653226 	 other metabolic processes 
Spi_isotig00136 	 0.653226 	 stress response  
Spi_isotig00137 	 0.649699 	 other metabolic processes 
Spi_isotig00137 	 0.649699 	 stress response  
Spi_isotig00137 	 0.649699 	 transport   
Spi_isotig00139 	 0.661008 	 developmental processes  
Spi_isotig00139 	 0.661008 	 other biological processes 
Spi_isotig00139 	 0.661008 	 other metabolic processes 
Spi_isotig00139 	 0.661008 	 stress response  
Spi_isotig00139 	 0.661008 	 transport   
Spi_isotig00140 	 0.652289 	 developmental processes  
Spi_isotig00140 	 0.652289 	 other metabolic processes 
Spi_isotig00140 	 0.652289 	 transport   
